Patron ID,Arrival Time,Turnaround Time,Waiting Time,Response Time
1,188,152,12,18
0,249,863,133,232
3,356,1354,794,958
4,422,1475,1275,1394
2,499,2253,1433,1930
5,773,2205,1995,2194
6,793,2291,2191,2278
7,804,2755,2355,2364
8,1041,2877,2587,2651
9,1107,4410,3020,3119
11,1160,4556,4366,4431
12,1281,4543,4493,4543
10,1283,5388,4558,4849
14,1491,5316,5186,5305
13,1514,5895,5375,5306
15,1634,6496,5846,5975
16,1809,6931,6341,6613
18,1879,6894,6884,6894
17,1856,8239,6959,7098
19,2018,8909,8129,8199
20,2093,9653,8903,9362
21,2338,9522,9442,9470
22,2361,10602,9562,10028
23,2556,10834,10444,10520
25,2583,11525,10815,10819
24,2671,11625,11495,11441
27,2839,11948,11448,11948
26,2874,12320,11930,12197
29,3000,12513,12343,12333
28,3001,13347,12587,12607
30,3165,13851,13211,13254
33,3363,14634,14134,14634
31,3299,15619,14719,13802
32,3339,15788,15178,13974
34,3581,16430,15680,16113
35,3665,17565,16965,17020
36,3645,18156,17086,16402
38,3865,18922,18012,18119
37,3984,18855,18845,18855
40,4047,19681,19061,18950
39,4105,20773,19443,19413
41,4287,21234,20604,20592
42,4384,21411,21211,21411
43,4483,21649,21349,21649
45,4542,22365,21685,21632
44,4636,23091,22391,22829
47,4889,23680,23320,22777
48,5017,23793,23423,23394
46,4839,24233,23803,22838
50,5053,24404,24284,24296
49,5083,24546,24426,24390
51,5217,24503,24373,24405
52,5349,25508,24518,24495
53,5383,25859,25509,25785
56,5620,26202,25692,25679
54,5631,26444,26264,26209
55,5714,26698,26388,26329
57,5849,26724,26624,26631
59,6017,26681,26561,26681
60,6019,27843,26813,26823
58,6092,28834,27804,27935
61,6318,29660,28790,28904
62,6457,30309,29589,29664
63,6504,30771,30401,30316
64,6617,30868,30668,30868
65,6743,31110,30760,30774
66,6870,31083,31063,31055
67,6998,31008,30978,31008
68,7076,32073,30983,31443
69,7084,33114,32184,32575
70,7173,33084,33034,33038
71,7285,33764,33084,33329
72,7377,34321,33711,33691
73,7564,34904,34254,34655
75,7609,35738,35108,34801
74,7602,36591,35701,35503
76,7638,37120,36640,36621
77,7713,37933,37143,37141
78,7810,38043,37903,37973
80,8121,38089,37829,37997
81,8151,38477,38237,38132
79,8193,39320,38530,38548
82,8289,39511,39321,39289
83,8401,40263,39443,39419
85,8507,40669,40289,40188
84,8645,40636,40516,40636
86,8796,40673,40513,40516
87,8889,41382,40682,40838
88,8929,41483,41393,41446
89,8958,41620,41520,41620
90,9029,41881,41581,41881
92,9275,42124,42114,42124
91,9287,42354,41674,42100
93,9393,42497,42347,42321
94,9486,42980,42440,42700
95,9626,43483,42953,43403
97,9748,43657,43417,43390
96,9858,44192,43612,43663
99,9919,44765,44315,44482
98,10044,44858,44638,44748
100,10223,45285,44685,44883
102,10292,46068,45388,45350
101,10358,46545,46045,46545
103,10365,46881,46591,46645
105,10578,47198,46788,46992
106,10650,47367,47157,47141
104,10639,48194,47524,47885
107,10748,48500,48160,48137
108,11026,48400,48250,48359
109,11065,48803,48403,48681
110,11071,49099,48809,48984
111,11194,49740,49050,49218
112,11238,50519,49769,49911
113,11398,50966,50426,50422
114,11601,52104,50804,51063
115,11793,52353,51953,52222
116,11823,52465,52375,52465
118,11822,52622,52532,52622
117,11861,52702,52612,52702
120,12064,53027,52517,52978
119,12129,53185,52985,53059
122,12210,53578,53188,53164
121,12221,54201,53601,53588
123,12315,54484,54324,54179
125,12520,54666,54326,54381
124,12582,55114,54614,55114
128,12821,55318,54968,54940
126,12878,55701,55331,55387
127,12949,56601,55711,56184
130,13018,56548,56538,56548
129,13125,57387,56487,56538
131,13142,57828,57408,57688
132,13224,57707,57697,57707
134,13421,58062,57702,57701
133,13504,58601,58001,58066
135,13584,58936,58666,58588
136,13770,59244,58834,58799
138,13823,60089,59269,59236
137,13832,60325,60145,60226
140,14096,60378,60098,60160
139,14161,60729,60319,60466
143,14323,60866,60676,60727
141,14331,61836,60946,60887
142,14355,61915,61825,61915
144,14414,62505,61905,61974
145,14512,62840,62480,62717
146,14640,62845,62745,62752
147,14847,63602,62782,62840
149,15086,65553,64803,64235
148,15070,65672,64472,63910
150,15220,65990,65630,65635
151,15225,66570,66100,66300
152,15471,66643,66343,66643
155,15602,66833,66733,66741
153,15527,66972,66752,66537
154,15650,67132,66922,66930
156,15686,67690,67210,67189
157,15949,68238,67478,67479
160,16013,68334,68204,68193
158,16066,68548,68358,68445
159,16124,69137,68537,68631
161,16189,69923,69193,69184
162,16422,70374,69764,69717
163,16434,71044,70484,70460
164,16659,71817,70887,71318
165,16735,72090,71840,71834
166,16789,72675,72235,72305
167,16925,73156,72846,72626
168,16938,73417,73057,72603
169,17122,73412,73292,73412
172,17233,73492,73292,73492
170,17205,73868,73758,73290
171,17234,73856,73696,73634
173,17316,74904,73854,74331
174,17434,75091,74781,75067
175,17748,75563,74903,74863
177,17824,75752,75542,75646
176,17849,75850,75720,75792
179,17946,75965,75765,75964
178,18014,75985,75965,75934
180,18062,76728,76028,76252
181,18151,78044,76714,76635
182,18237,78593,78103,78130
184,18411,79320,78530,78432
183,18488,79357,79307,79357
185,18644,79585,79175,79364
186,18848,80756,79546,79483
187,18935,80952,80712,80880
188,18993,82153,81073,81166
190,19005,82577,82157,82269
189,19087,82566,82536,82566
191,19179,82560,82490,82507
193,19305,82688,82478,82484
192,19426,82585,82575,82585
195,19581,82831,82451,82740
194,19654,83335,82815,82758
197,19720,84280,83370,83485
196,19788,84352,84332,84303
200,20042,84580,84080,84580
198,20070,84996,84696,84785
199,20123,85891,85031,85001
202,20213,86234,85864,86017
201,20249,86162,86152,86162
203,20358,86242,86122,86242
204,20474,86270,86170,86270
205,20575,86696,86306,86341
206,20617,86782,86682,86766
207,20954,86809,86569,86475
208,21030,86868,86748,86720
209,21176,86969,86819,86886
211,21247,87543,86953,87442
210,21269,87862,87662,87633
213,21370,88026,87786,87903
212,21491,88336,87936,88093
214,21588,88527,88317,88311
215,21722,89139,89049,89139
216,21620,89296,88686,88683
218,21928,89202,89092,89091
217,21965,90053,89273,89266
221,22135,90766,90056,89996
219,22183,90850,90730,90850
222,22252,91392,90892,91392
220,22219,92055,91405,90904
223,22407,92848,91968,92221
224,22421,93944,92924,93138
225,22708,93889,93689,93889
226,22726,93883,93873,93883
227,22796,93881,93871,93881
228,22942,94611,93991,94070
229,23007,95086,94596,94736
230,23215,95300,94940,94927
234,23417,95365,95135,95321
232,23423,95673,95533,95464
231,23397,96305,95705,95611
233,23408,96972,96282,95790
236,23677,97333,96803,96760
237,23758,97739,97329,97288
235,23789,98174,97814,97924
239,23911,98945,98185,98117
238,24096,98850,98800,98818
241,24156,98843,98753,98843
242,24223,99244,99164,99175
240,24143,99683,99033,99171
244,24400,100698,99598,99795
243,24521,101487,100657,101096
245,24675,101573,101413,101414
247,24720,101656,101526,101521
248,24838,101925,101735,101611
246,24884,102414,101914,102414
249,25069,103146,102346,102562
