Time Interval(milliseconds),Count
10000,26
20000,23
30000,26
40000,11
50000,25
60000,25
70000,27
80000,31
90000,26
100000,27
110000,27
120000,19
130000,23
140000,22
150000,23
160000,20
170000,19
180000,16
190000,16
200000,16
210000,18
220000,16
230000,18
