Patron ID,Arrival Time,Turnaround Time,Waiting Time,Response Time
287,28947,101022,100722,101022
4,534,129774,129424,97
451,45228,85425,84865,184
457,45995,84973,84423,180
92,9451,121859,121229,63
104,10440,121195,120795,9578
425,42617,89635,89105,40
18,2020,130553,129823,59
243,24498,108386,107946,74
270,27224,105995,105325,148
240,24046,109507,108927,85
360,36278,99194,98864,97
83,8536,127207,126517,1522
135,13603,122553,122173,75
352,35482,100990,100470,155
63,6357,130432,129842,132
251,25335,112131,111491,25
20,2293,135834,135234,118
359,36183,102296,101316,292
483,48595,90193,89733,40
132,13420,125688,125098,1287
441,44129,95302,94792,119
180,18232,121543,121123,20
258,26037,114065,113375,113
275,27532,112897,112277,41
29,2981,138413,137813,53943
124,12593,130068,129188,980
284,28444,114578,113848,143
263,26321,117250,116950,117250
265,26701,117233,116743,246
127,12811,131435,130925,68
269,26933,117641,117171,111
247,24946,119963,119333,109
347,34758,110495,109895,332
368,36830,108788,108438,131
478,47915,97979,97479,47618
13,1569,144677,144157,42
471,47155,99754,99374,136
227,22805,124453,124003,143
393,39595,108000,107500,44453
345,34576,113284,112814,124
75,7647,140588,140288,140588
138,13987,134593,134173,58
186,18889,130012,129592,44924
291,29235,120298,119688,39
339,34055,115828,115228,59
166,16725,133475,133045,13
336,33740,117429,116939,755
172,17230,134292,133592,109
488,49032,103112,102672,54
311,31165,121263,120963,121263
15,1517,151571,151031,143
465,46747,106629,105419,87
72,7217,146498,145958,145
454,45693,108705,108405,108705
323,32416,122298,121798,74
459,45989,109014,108334,134
450,45192,110784,110434,157
439,44141,112186,111676,118
350,35280,122020,121620,68
349,35194,122435,122075,94
167,16851,141067,140557,101
353,35475,123115,122585,200
332,33276,125978,125528,101
176,17762,141819,141419,119
361,36156,123745,123345,24844
148,14817,145343,145013,105
194,19459,141060,140560,69175
424,42589,118250,117850,26
79,8013,153308,152308,102
78,7838,154534,153734,32
164,16572,146309,145399,123
202,20414,142975,142465,57
201,20264,143729,143079,82
153,15518,148960,148340,121
197,19974,145023,144113,65
96,9697,155772,155132,95
413,41446,124567,123637,84
354,35558,130933,129853,333
414,41400,125640,125040,11468
382,38236,129336,128626,31
149,15028,153047,152537,66
333,33305,135351,134251,123348
196,19878,149253,148363,112
433,43357,126333,125823,73
383,38574,131572,131072,131572
292,29393,141348,140598,165
384,38485,132766,132096,202
415,41564,130200,129490,126
447,44844,127949,127359,129
37,3708,169601,168771,69
81,8357,165440,164830,102
351,35261,139058,138558,139058
58,5910,169482,168892,147
5,705,175231,173551,104
244,24654,151764,151244,64
435,43732,133244,132744,133244
103,10343,167131,166071,147
137,13970,164552,163952,43470
376,37667,141407,140817,589
44,4604,174982,174172,83
175,17545,162572,161762,74
289,28907,151781,150891,71
256,25814,155386,154326,55
458,46023,136202,135702,136202
371,37216,145522,144482,169
278,27906,155335,154575,80
272,27418,156298,155668,109
107,10788,173438,172718,41251
249,24984,160236,159476,81
80,8027,178321,177341,134
178,17991,168949,168229,43554
21,2375,185120,184460,50
115,11670,176338,175828,50
266,26736,161788,161288,161788
421,42330,146791,146001,900
422,42384,147292,146142,90
324,32566,157659,156459,135
313,31362,159410,158700,60
91,9358,181902,181092,75
392,39450,152375,151865,126
45,4564,188250,187640,104
335,33543,159766,159016,127
316,31652,162174,161344,95
195,19776,174573,173443,138
154,15405,179973,178883,46
310,31006,164884,164304,598
69,7072,189347,187997,104
327,32925,164016,163296,52
143,14456,183541,182281,162
16,1741,196777,196117,149
214,21409,177683,175783,92852
466,46789,152835,151925,87
9,990,199167,198577,412
223,22363,178303,177473,34
241,24259,176911,176001,32
64,6407,195300,194660,144
56,5804,196413,195483,84
277,27910,174852,174342,91
177,17854,185457,184737,55
429,43074,161254,160424,188
145,14542,190345,189445,46204
403,40378,165012,164512,165012
65,6786,199132,198462,44
438,44096,162422,161822,7240
60,6082,200965,199965,82
210,21058,186518,185898,180
273,27376,180750,179870,78
234,23449,185117,184357,29
183,18347,190774,190244,68
261,26285,183301,181891,109
449,45120,165160,164190,209
97,9842,200973,199963,87
30,3091,208248,207048,93909
212,21486,190391,189761,44
315,31600,180761,180051,74
85,8662,204248,203018,81
497,49759,163666,162706,179
312,31334,183148,182148,183148
455,45668,169894,169134,24
136,13849,202287,201297,72
276,27829,188828,188298,195
120,12047,205098,204068,79
126,12851,204827,203897,75
125,12601,205575,204965,84
82,8380,210787,209607,72
171,17198,202528,201758,341
469,46985,173236,172306,77
367,36903,183832,183182,90
213,21556,199666,199066,55
94,9609,212136,211456,157
179,18060,204174,203184,128
33,3378,219440,218790,46
187,18702,204606,203816,105
181,18297,205504,204714,88
