Patron ID,Arrival Time,Turnaround Time,Waiting Time,Response Time
0,107,573,43,68
10,1297,17,7,17
13,1380,253,193,106
14,1583,148,138,148
16,1851,189,29,13
7,793,1516,1346,58
25,2543,217,147,125
24,2562,238,208,238
32,3253,344,244,50
34,3462,1197,1017,46
46,4686,348,178,83
44,4629,737,627,49
52,5396,289,209,289
54,5609,130,90,74
51,5298,580,480,90
47,4829,1200,1110,1200
58,6075,108,58,108
62,6451,132,82,132
64,6631,282,202,282
67,6940,119,89,119
68,6922,1009,839,319
77,7827,189,139,189
66,6768,1223,1123,133
80,8257,225,175,167
83,8511,297,177,35
87,8879,68,18,68
86,8896,62,52,62
41,4367,5121,5031,5121
81,8299,1312,1082,140
99,10194,36,26,36
106,10735,87,47,55
109,10911,118,68,118
108,11024,225,105,35
111,11186,443,253,91
116,11637,212,132,138
119,11912,86,56,86
118,11901,651,561,651
127,12898,33,23,33
131,13347,90,80,90
132,13436,382,262,45
149,14965,162,82,99
148,14825,452,202,129
150,15169,336,206,247
156,15702,136,126,136
155,15702,736,606,158
174,17574,159,109,159
176,17779,277,117,82
178,17964,173,143,173
182,18270,203,113,203
185,18630,66,56,66
189,19040,231,141,112
188,19068,184,134,184
179,18131,1585,1455,50
196,19895,105,45,22
200,20007,752,532,100
205,20537,1020,830,341
220,22220,65,25,30
221,22378,168,88,168
224,22544,236,136,135
228,23076,135,85,135
229,23132,294,134,147
206,20848,3509,3389,47
245,24660,60,50,60
248,24829,204,124,204
226,22715,2554,2444,89
231,23107,2538,2428,53
125,12537,13483,13293,213
219,22098,4053,3823,18
59,5955,21504,21244,112
138,13877,14155,13875,86
137,13726,14636,14276,203
23,2302,26152,25912,66
75,7733,21447,21257,3777
165,16720,13496,13246,105
168,16963,13418,13318,13418
191,19113,11505,11395,24
84,8640,22404,22104,22404
204,20474,11242,11122,11242
92,9228,23049,22819,36
201,20371,12713,12423,72
215,21622,12308,12038,253
101,10194,24121,23781,52
225,22563,12024,11804,2825
227,22808,11954,11734,112
21,2138,32758,32538,28759
237,23936,11633,11513,11633
242,24355,11642,11372,76
5,603,35482,35332,313
126,12634,23687,23477,449
63,6444,30200,29900,23
129,13122,23804,23584,13850
136,13605,23445,23315,74
29,3181,34199,33999,231
72,7433,30066,29726,115
142,14414,23222,23022,272
85,8765,29415,29115,68
36,3698,34619,34499,34619
79,8023,30429,30219,4125
162,16492,22351,22081,34
163,16527,22501,22201,80
9,1021,38188,37708,81
95,9650,29887,29767,29887
89,8966,30868,30568,128
180,18175,21796,21576,45
184,18476,21619,21499,21619
39,3968,36961,36761,36961
27,2917,38228,37928,24967
61,6357,35044,34804,128
97,9942,31683,31413,121
96,9683,32177,31647,29
