Time Interval(milliseconds),Count
10000,18
20000,17
30000,19
40000,22
50000,30
60000,25
70000,22
80000,22
90000,22
100000,23
110000,24
120000,24
130000,20
140000,20
150000,28
160000,19
170000,18
180000,22
190000,19
200000,20
210000,19
220000,22
230000,24
240000,1
