Patron ID,Arrival Time,Turnaround Time,Waiting Time,Response Time
0,115,106,6,106
3,333,185,135,185
4,591,440,300,189
11,1299,453,313,114
18,1961,61,51,61
14,1697,458,288,61
21,2373,26,16,26
25,2597,57,47,57
24,2599,195,115,195
29,2984,656,446,113
37,3952,320,240,236
36,3629,728,598,74
44,4621,88,8,88
46,4687,79,69,79
48,4930,136,96,72
52,5207,48,28,31
51,5382,111,61,111
59,6080,333,213,82
63,6430,192,112,192
78,7925,227,117,83
79,8032,488,298,95
88,9032,125,95,125
94,9624,179,69,74
95,9725,82,72,82
98,9898,134,84,134
96,9729,1830,1580,94
32,3360,8570,8470,8570
30,3134,8909,8769,79
60,6163,6081,5931,113
71,7288,6253,6003,231
2,252,13822,13572,11
77,7897,6304,6194,77
84,8696,6636,6516,6636
28,2839,12595,12245,86
89,9054,6519,6259,49
5,625,15140,14940,453
86,8772,7175,6795,122
1,293,16026,15746,98
34,3580,13055,12935,13055
66,6662,10342,10042,2088
22,2223,14945,14595,168
70,7280,10141,9811,48
57,5901,11698,11528,82
42,4366,13638,13298,44
90,9169,9452,9132,48
9,1116,17713,17363,95
93,9335,9694,9214,194
8,959,18279,18069,21
56,5603,14038,13738,5414
38,3952,16345,15925,102
67,6866,14121,13671,21
13,1498,20399,20199,20399
45,4776,18046,17636,1344
76,7839,15180,14780,92
47,4888,18373,17953,9037
80,8058,15411,15011,5725
81,8258,15940,15560,92
91,9233,15802,15502,15802
55,5549,19829,19059,180
54,5420,20307,19877,116
23,2360,24332,23802,13
31,3224,23796,23246,105
61,6186,21141,20451,288
33,3432,24231,23751,623
40,4167,23781,23361,13128
62,6475,22171,21491,300
73,7519,21778,21478,21778
50,5146,24500,23990,1927
65,6531,23407,22567,102
6,838,29733,29373,94
75,7595,23527,22947,585
85,8721,22843,22243,6208
7,858,31037,30647,493
35,3530,28893,27903,171
19,2061,30880,30100,193
27,2990,31009,30429,199
74,7663,26645,25935,107
10,1282,33751,32851,10537
20,2134,33408,32868,102
97,9851,26774,25594,505
83,8436,28714,27834,220
15,1679,35993,35383,96
92,9379,28872,28372,28871
12,1431,37317,36617,59
41,4299,34990,34430,102
87,8842,30920,30190,98
26,2602,37728,37198,111
16,1696,39100,38510,1689
43,4572,36816,36206,101
69,7186,34675,33665,122
53,5331,37071,36341,42
58,6036,36881,35731,226
72,7410,36016,35516,36016
82,8296,35654,34454,6129
99,10083,34410,33890,141
64,6401,38593,37483,86
68,7038,38473,37943,43
39,3961,42069,41219,153
49,4939,41629,40599,202
17,1908,45155,44225,84
