Patron ID,Arrival Time,Turnaround Time,Waiting Time,Response Time
0,52,63,13,63
1,371,269,79,160
3,522,984,974,984
2,492,1041,191,466
4,559,1296,926,971
7,753,1788,1228,1226
5,758,1930,1790,1796
6,780,2756,1976,2048
8,854,4364,2724,3162
9,1065,5140,4670,4490
11,1114,5265,4875,4776
10,1218,5323,5193,5181
13,1360,5798,5298,5798
12,1400,6036,5816,5899
14,1551,6597,5947,6109
15,1718,6481,6431,6481
16,1770,7021,6501,6552
18,1800,7837,7067,6998
17,1797,8143,7843,8143
19,1936,9029,8019,8515
20,2064,9617,8957,8967
21,2258,9509,9429,9509
22,2442,10078,9398,9479
25,2500,10100,10000,10100
24,2503,10464,10134,10163
23,2548,11680,10480,10445
26,2830,11664,11464,11664
27,2925,11979,11639,11657
28,3009,12914,11934,11924
29,3181,13607,12777,13245
31,3273,13894,13554,13581
30,3299,14505,13955,13920
32,3375,15789,14589,14570
33,3533,15836,15786,15774
34,3615,16056,15786,15873
35,3645,16383,16073,16055
36,3659,16676,16376,16676
40,4006,16967,16517,16622
37,3936,17109,16859,16447
38,4049,17732,17082,17163
39,4170,18279,17679,17647
41,4265,19611,18911,18154
42,4320,20163,18923,18944
44,4434,20168,20088,20112
43,4558,20854,20044,20121
45,4690,20861,20741,20861
47,4883,21109,20679,20797
46,4897,22282,21162,21126
48,4985,22604,22244,22480
49,5070,22547,22537,22547
51,5107,22811,22511,22811
50,5121,22839,22809,22839
53,5366,22877,22577,22877
54,5467,23683,22933,23059
52,5491,24551,23821,24208
55,5613,25290,24500,24517
56,5792,25184,25174,25184
57,5811,25815,25475,25315
58,5809,26371,25721,25569
59,6000,26302,26192,26238
60,6142,26333,26193,26241
61,6301,26457,26147,26446
62,6286,27362,26502,26594
64,6428,27447,27357,27405
63,6583,27301,27271,27301
66,6707,28168,27288,27519
65,6779,28475,28105,28068
68,6825,28766,28486,28463
67,6940,29031,28851,28723
71,7153,29583,28833,28820
69,7150,29894,29594,29645
70,7282,30502,29872,29892
72,7333,31095,30495,30555
73,7474,31235,31035,31073
75,7509,31619,31259,31305
74,7512,31751,31651,31751
77,7734,32212,31602,31580
76,7881,32255,32115,32120
78,7942,32530,32320,32234
79,7959,32671,32581,32656
80,8155,32926,32526,32528
81,8204,33315,32965,32914
82,8398,33220,33130,33220
83,8422,33397,33197,33397
84,8658,33243,33163,33243
85,8772,33175,33125,33175
87,8780,33488,33298,33246
86,8809,33808,33508,33808
88,8882,34098,33748,33795
89,8913,35573,34033,34516
91,9114,35547,35477,35473
90,9223,35744,35434,35733
92,9494,36117,35717,35492
93,9529,36174,36084,36174
96,9671,36219,36079,36142
94,9694,36756,36266,36344
95,9710,36932,36742,36841
98,9837,36891,36831,36855
97,9956,36913,36803,36809
100,10009,37246,36896,37179
99,10037,37731,37271,37336
101,10372,37414,37384,37414
104,10409,38496,38066,38061
103,10402,38592,38422,37422
102,10423,38951,38201,37673
106,10645,38801,38771,38801
105,10743,39483,38783,39168
107,10775,39665,39405,39242
108,11014,39486,39456,39486
109,11099,39829,39499,39671
110,11253,39651,39641,39651
112,11264,40819,39789,39662
111,11353,40886,40836,40886
113,11497,41130,40790,40809
115,11554,41366,41116,41152
114,11648,41773,41363,41309
116,11776,42233,41703,41705
117,11793,42468,42268,42468
118,11914,42400,42390,42400
120,12089,43126,42326,42334
119,12198,43726,43136,43065
122,12259,43951,43711,43685
121,12332,44644,43934,43850
123,12559,44815,44535,44581
124,12560,45379,44909,44913
126,12605,45526,45366,45440
125,12669,45593,45503,45593
127,12940,46257,45437,45465
128,12949,46319,46269,46319
129,13094,46229,46199,46186
130,13227,46284,46174,46155
131,13273,47431,46511,46319
132,13295,47514,47374,46815
134,13436,47673,47423,47612
133,13581,48041,47541,47599
135,13677,48613,48023,48286
136,13807,48623,48583,48474
137,13887,48830,48580,48768
139,13940,48834,48824,48834
138,13946,49112,48892,48924
140,14118,49746,49016,49469
142,14317,49685,49565,49685
141,14389,50837,49617,49869
143,14540,51092,50782,50841
145,14619,51075,51065,51075
144,14635,51490,51130,51116
146,14699,52208,51538,51931
147,14749,52534,52204,52499
148,14906,53564,52404,52407
150,15112,53458,53368,53458
149,15166,53664,53514,53608
151,15319,54348,53598,53716
152,15415,54366,54276,54366
153,15573,54384,54204,54267
154,15617,54599,54399,54599
155,15723,54764,54504,54569
157,15777,54983,54783,54871
156,15849,56503,55103,55467
159,15926,56869,56519,56467
158,15936,57133,56933,56898
160,16168,57081,56971,57064
161,16239,57103,56983,57103
163,16346,57672,57172,57170
162,16431,57962,57762,57588
165,16591,58605,57975,57884
164,16608,58991,58641,58903
168,16827,59185,59175,59185
167,16755,59451,58961,58847
166,16858,59830,59420,59581
170,17024,60563,60473,59845
169,17015,60678,59878,59734
171,17240,60897,60507,60796
173,17302,61531,61011,61017
172,17400,62043,61513,61478
174,17634,62281,61851,61922
176,17654,62686,62316,62343
175,17681,62646,62636,62646
177,17771,63622,62712,63112
178,17813,64492,63722,63747
179,17958,64747,64437,64574
180,18134,64590,64580,64590
181,18164,64942,64612,64785
182,18332,65645,64855,64769
183,18410,66169,65749,65649
184,18697,66427,65937,66190
185,18741,66962,66432,66602
187,18751,67359,67089,67091
186,18893,67817,67307,67339
188,19044,67861,67821,67825
190,19247,67605,67595,67605
192,19235,68383,68003,68021
189,19183,68614,68144,67916
191,19386,68923,68663,68582
193,19465,69156,68906,68939
194,19490,69498,69198,69114
195,19558,69948,69438,69935
196,19672,70037,69907,69949
197,19775,70462,69942,69935
198,19878,70914,70424,70494
199,20039,70952,70812,70770
200,20111,71305,71005,70929
201,20268,71514,71254,71298
202,20351,72351,71471,71543
203,20362,72883,72353,72353
204,20593,72720,72700,72695
207,20747,73167,72737,72868
205,20751,73470,73270,73252
206,20801,74065,73475,73527
208,20828,74563,74163,74086
209,21040,74989,74389,74672
210,21098,75202,75002,75059
211,21315,75650,75050,75535
212,21368,76012,75662,75798
214,21471,75917,75887,75917
213,21536,75933,75883,75933
216,21728,75973,75823,75784
215,21763,76199,76039,76028
217,21790,76343,76223,76188
218,21935,77162,76272,76293
221,22110,77503,77073,77005
220,22178,77982,77482,77982
219,22190,78592,78032,78033
223,22433,78745,78395,78556
224,22492,78946,78716,78697
222,22499,79345,79035,78948
225,22698,79501,79261,79300
226,22818,79356,79346,79356
228,22832,79841,79481,79428
227,22865,80671,79931,79956
229,23066,80972,80492,80588
230,23131,81364,81014,80982
231,23196,82050,81430,81396
233,23378,82221,81931,81991
234,23403,82421,82221,82285
232,23499,82891,82551,82454
235,23557,83001,82881,82932
238,23807,83388,82788,82765
237,23877,83545,83325,83404
236,23833,83853,83563,83636
240,24143,84561,83651,83630
241,24186,85079,84969,84716
239,24191,85120,84830,84655
242,24269,85554,85104,85066
243,24389,85487,85477,85487
244,24557,85481,85341,85411
245,24568,86041,85491,85528
246,24757,86320,85970,86021
247,24795,86362,86302,86302
248,25009,86476,86256,86217
250,25025,86870,86550,86468
249,25143,87725,86725,87200
252,25310,87894,87694,87894
251,25379,87966,87846,87966
253,25381,88087,87967,88087
254,25489,89674,88834,87971
255,25509,89817,88887,88930
257,25773,89907,89587,89874
256,25832,90293,90073,89916
258,25961,90263,90183,90263
259,26152,90584,90084,90584
260,26186,90919,90569,90866
261,26239,91199,90949,90991
262,26367,91749,91149,91118
263,26547,91741,91611,91684
264,26549,92133,91903,91816
265,26633,92065,92055,92065
267,26738,92439,92019,92262
266,26767,92874,92534,92511
269,27022,93392,92762,93187
268,27085,94602,93452,93839
270,27255,95173,94563,94612
271,27374,95911,95161,95057
272,27465,96011,95901,95903
273,27510,97086,96006,96433
275,27630,97390,97160,97083
274,27675,97598,97408,97469
278,27848,97667,97467,97667
276,27872,97970,97670,97970
277,27919,98112,97982,97980
280,28079,98540,98120,98012
279,28173,99330,98510,98563
281,28355,99593,99333,99293
283,28428,99517,99507,99517
282,28486,99691,99471,99454
284,28663,99615,99535,99615
285,28713,100006,99756,99628
287,28727,100741,99921,99833
286,28765,100847,100737,100739
289,28904,101114,100784,100836
288,29039,101289,100989,101289
291,29162,101452,101262,101191
290,29196,102068,101458,101207
292,29309,102272,102042,102127
293,29567,102419,102089,102108
295,29569,102883,102483,102656
296,29616,102942,102852,102942
294,29639,103847,102977,103424
297,29844,104264,103834,103696
298,29881,104743,104403,104432
300,30020,105134,104624,104630
302,30215,105980,105200,105234
299,30161,106235,105895,105026
301,30209,106867,106267,106260
304,30472,106727,106687,106662
303,30544,107341,106721,106843
307,30731,108193,107993,108193
305,30665,108551,108121,107339
306,30658,108568,107998,107865
308,30910,109237,108497,108478
309,31084,109371,109071,109371
310,31098,109940,109420,109905
311,31214,110222,109922,110222
312,31310,110366,110166,110366
313,31441,110745,110255,110338
315,31554,110807,110607,110807
316,31677,110722,110712,110722
314,31693,111586,110796,110822
317,31765,111644,111584,111584
319,32003,112067,111507,111462
318,32047,112020,112010,112020
321,32166,112227,111927,111991
320,32224,112318,112238,112318
322,32315,113206,112306,112345
323,32398,113198,113168,113198
325,32559,113509,113159,113135
324,32690,113349,113339,113349
326,32891,113366,113316,113366
327,32882,113879,113289,113296
328,32924,114511,113951,114156
329,32959,115298,114658,115016
330,33221,115234,115104,115156
331,33350,115294,115094,115294
332,33455,115572,115302,115354
334,33597,116045,115445,115519
333,33588,116248,116068,116136
335,33682,116324,116214,116219
337,33702,116748,116428,116433
336,33751,116998,116728,116754
338,33880,117385,116995,117263
339,34101,117655,117275,117204
340,34223,118027,117517,117504
342,34308,118328,118008,118112
343,34357,118662,118412,118319
341,34379,119091,118711,118703
344,34454,119527,119027,119527
346,34681,119833,119333,119833
345,34762,119974,119774,119974
348,34804,120641,120021,120065
347,34876,121007,120687,120729
349,35127,121489,120799,120849
350,35161,122088,121548,121557
351,35394,122039,121909,121909
352,35496,122130,122020,122056
354,35519,123544,122214,122452
353,35535,124431,123621,123626
355,35703,125240,124450,124314
356,35768,125403,125203,124931
357,35869,125542,125442,125416
359,35916,125875,125545,125518
360,36080,126321,125781,125766
358,36099,126699,126329,126386
362,36215,126684,126584,126684
363,36326,126924,126684,126687
361,36396,127138,126918,126892
365,36569,127257,127037,127134
364,36609,127666,127306,127301
