Patron ID,Arrival Time,Turnaround Time,Waiting Time,Response Time
2,205,143,13,128
0,271,356,236,356
1,347,601,421,483
4,420,1217,587,854
3,551,1633,1433,1117
5,506,1614,1144,1310
6,678,2295,1655,1624
8,933,2585,2135,2400
7,999,3101,2601,2627
9,1141,2967,2957,2967
10,1257,2925,2835,2925
13,1351,3526,2866,3353
11,1384,3509,3499,3509
12,1395,3528,3498,3528
14,1540,3983,3413,3408
15,1795,3867,3747,3843
16,1832,3972,3812,3926
17,1899,4371,3941,4009
18,1982,4690,4350,4348
20,2115,4801,4571,4743
19,2108,5089,4809,4801
21,2220,5316,5056,5087
23,2301,6017,5377,5313
22,2359,6302,5992,5969
24,2485,6342,6182,6259
26,2737,6184,6084,6184
25,2792,6474,6164,6156
27,2844,7313,6483,6712
28,2862,8123,7373,7629
29,3154,8427,7877,7850
31,3190,8707,8407,8707
30,3193,8869,8739,8827
32,3255,8867,8857,8867
33,3394,8977,8777,8977
34,3406,9517,9017,9290
35,3745,9843,9213,9205
38,3801,10999,9999,10166
36,3796,11374,10984,9853
37,3847,12624,11404,11640
39,3983,13113,12523,12501
40,4087,13360,13040,13121
41,4201,13796,13286,13753
42,4295,14515,13735,14204
43,4314,15346,14686,14844
46,4636,15999,15129,15128
44,4675,16081,15981,16081
45,4705,16580,16080,16580
47,4809,16832,16562,16551
49,4991,17071,16751,16790
48,5077,17646,17096,17064
51,5217,17786,17566,17517
50,5291,18192,17792,17769
52,5313,19569,18299,18301
55,5504,19663,19463,19551
53,5592,20216,19706,19642
54,5595,20604,20274,20289
56,5767,20794,20474,20449
57,5859,20817,20717,20817
60,6038,21261,20721,20971
59,6023,22159,21429,21377
58,6068,22939,22229,22277
61,6194,22936,22836,22868
62,6354,23177,22867,22919
63,6481,23075,23065,23075
64,6658,23121,22901,23012
66,6736,23741,23291,23104
67,6715,23860,23660,23627
65,6769,24276,23946,23916
68,6838,25460,24260,24417
69,6965,25481,25351,25349
72,7229,25629,25279,25301
70,7266,25815,25615,25815
71,7364,26146,26036,25979
73,7334,26201,25981,25753
74,7416,26973,26303,26224
76,7684,27188,26738,26835
75,7761,28137,27317,27644
77,7946,28145,27945,28145
78,7997,28458,28148,28442
80,8063,29021,28421,28485
79,8134,29285,29045,29149
82,8266,29472,29222,29269
81,8297,29961,29461,29961
83,8327,30887,30007,30472
84,8444,30847,30837,30847
87,8749,30558,30548,30558
85,8759,31274,30594,30765
86,8800,31999,31359,31303
88,8899,32543,32123,31996
89,8922,33474,32714,32624
90,9176,33535,33315,33266
93,9350,34147,33447,33453
92,9359,34670,34190,34250
91,9378,35171,34661,35155
94,9442,35212,35132,35212
95,9711,35997,34997,35453
96,9753,36295,35995,36295
98,9919,36344,36144,36217
97,9990,36449,36349,36325
99,10074,37477,36437,36397
